id,direcion,localidad,ricibe
5,secarropas,53862 Northport Lane,Avellaneda,vacio
7,pava,0348 Butternut Junction,Avellaneda,vacio
8,pava,81473 Lukken Street,Avellaneda,vacio
11,plancha,056 Loomis Lane,Avellaneda,vacio
24,plancha,94349 Havey Drive,Avellaneda,vacio
34,mesa,1 Ronald Regan Street,Avellaneda,vacio
39,televisor,8 Larry Plaza,Avellaneda,vacio
45,silla,0130 Mccormick Park,Avellaneda,vacio
51,mesa,5453 Mockingbird Trail,Avellaneda,vacio
70,mesa,7 Corscot Alley,Avellaneda,vacio
77,televisor,3375 Bartelt Pass,Avellaneda,vacio
86,lavarropas,4 Talisman Plaza,Avellaneda,vacio
87,aire acondicionado,21008 Summit Circle,Avellaneda,vacio
91,televisor,03 Michigan Point,Avellaneda,vacio
99,lavarropas,23774 Redwing Street,Avellaneda,vacio
110,silla,75 Vernon Circle,Avellaneda,vacio
111,pava,16565 Nobel Terrace,Avellaneda,vacio
113,pava,739 Talisman Drive,Avellaneda,vacio
115,televisor,7 Oriole Park,Avellaneda,vacio
118,silla,3 Dexter Junction,Avellaneda,vacio
124,aire acondicionado,7 Everett Court,Avellaneda,vacio
128,aire acondicionado,686 Southridge Road,Avellaneda,vacio
142,plancha,9 Sheridan Circle,Avellaneda,vacio
160,lavarropas,98331 Village Green Circle,Avellaneda,vacio
173,sillon,701 Dottie Court,Avellaneda,vacio
181,silla,54832 Hollow Ridge Trail,Avellaneda,vacio
183,televisor,78598 Cambridge Junction,Avellaneda,vacio
190,sillon,17466 Lakewood Circle,Avellaneda,vacio
197,sillon,914 Arapahoe Plaza,Avellaneda,vacio
203,sillon,8 Tony Crossing,Avellaneda,vacio
206,plancha,40 Veith Junction,Avellaneda,vacio
214,mesa,50 Banding Point,Avellaneda,vacio
215,plancha,2697 Forest Run Alley,Avellaneda,vacio
218,cocina,1 Transport Drive,Avellaneda,vacio
225,aire acondicionado,286 5th Circle,Avellaneda,vacio
226,aire acondicionado,75 Bellgrove Terrace,Avellaneda,vacio
227,televisor,27715 Main Circle,Avellaneda,vacio
228,secarropas,44680 Emmet Plaza,Avellaneda,vacio
239,mesa,6548 Bartelt Road,Avellaneda,vacio
240,cocina,5 Fulton Crossing,Avellaneda,vacio
242,pava,3489 Kinsman Alley,Avellaneda,vacio
245,mesa,98 Moulton Trail,Avellaneda,vacio
252,secarropas,7330 Fairview Terrace,Avellaneda,vacio
257,televisor,36 Northfield Crossing,Avellaneda,vacio
278,lavarropas,47613 Hooker Drive,Avellaneda,vacio
279,televisor,11039 Burrows Park,Avellaneda,vacio
294,aire acondicionado,3360 Kensington Point,Avellaneda,vacio
299,pava,0 South Lane,Avellaneda,vacio
302,lavarropas,462 Dayton Junction,Avellaneda,vacio
307,silla,95731 Tennessee Avenue,Avellaneda,vacio
321,silla,11596 Continental Pass,Avellaneda,vacio
330,mesa,1 Manley Park,Avellaneda,vacio
346,pava,18779 Moose Avenue,Avellaneda,vacio
347,sillon,566 Oak Park,Avellaneda,vacio
364,pava,942 David Alley,Avellaneda,vacio
373,mesa,8449 Milwaukee Pass,Avellaneda,vacio
378,plancha,55 John Wall Drive,Avellaneda,vacio
393,lavarropas,39 Fair Oaks Street,Avellaneda,vacio
395,silla,30444 Armistice Alley,Avellaneda,vacio
397,sillon,21092 Ronald Regan Lane,Avellaneda,vacio
404,mesa,575 Lighthouse Bay Court,Avellaneda,vacio
405,cocina,27 Towne Parkway,Avellaneda,vacio
406,pava,41 Prairie Rose Hill,Avellaneda,vacio
411,lavarropas,5323 2nd Center,Avellaneda,vacio
421,mesa,2124 Forster Trail,Avellaneda,vacio
422,cocina,0 Mendota Junction,Avellaneda,vacio
424,plancha,28765 Delladonna Court,Avellaneda,vacio
428,secarropas,449 David Lane,Avellaneda,vacio
437,televisor,24 Steensland Avenue,Avellaneda,vacio
